namespace,start_time,end_time,node,pod,memory_bytes_limit,cpu_core_limit,machine_spot_or_on_demand,instance_type,instance_hourly_cost,cost_assumptions_memory_percentage,cost_assumptions_cpu_percentage,instance_markup,instance_total_memory,instance_total_cpu,cost_per_min_total,cost_per_min_memory,cost_per_min_cpu
devops,1515974400,1515974460,ip-10-151-22-101.ec2.internal,node-exporter-xtd2c,536870912,1.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0001705104492040802020846879116788841201923787593841552734375,0.0000200104492040801962954819914752846443661837838590145111083984375,0.00015049999999999999901294234216919676327961497008800506591796875
devops,1515974400,1515974460,ip-10-151-22-218.ec2.internal,node-exporter-gxsgh,536870912,1.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0001705104492040802020846879116788841201923787593841552734375,0.0000200104492040801962954819914752846443661837838590145111083984375,0.00015049999999999999901294234216919676327961497008800506591796875
infrastructure,1515974400,1515974460,ip-10-151-22-218.ec2.internal,alb-ingress-controller-7777d769dd-rcsq6,268435456,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00008525522460204010104234395583944206009618937969207763671875,0.00001000522460204009814774099573764232218309189192950725555419921875,0.000075249999999999999506471171084598381639807485044002532958984375
devops,1515974400,1515974460,ip-10-151-22-101.ec2.internal,alertmanager-6658498fb6-zrgsp,536870912,1.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0001705104492040802020846879116788841201923787593841552734375,0.0000200104492040801962954819914752846443661837838590145111083984375,0.00015049999999999999901294234216919676327961497008800506591796875
devops,1515974400,1515974460,ip-10-151-22-101.ec2.internal,cluster-autoscaler-79ddf8fdbd-l28z5,314572800,0.1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0000267748725805157415593045489021761795811471529304981231689453125,0.000011724872580515739963944420176655825116540654562413692474365234375,0.000015050000000000001595360128725520354464606498368084430694580078125
infrastructure,1515974400,1515974460,ip-10-151-22-218.ec2.internal,default-http-backend-59b65899db-w94k6,20971520,0.01,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0000022866581720343827108612479170890452451203600503504276275634765625,7.816581720343826148527060886095352287838977645151317119598388671875E-7,0.0000015049999999999999901294234216919676327961497008800506591796875
infrastructure,1515974400,1515974460,ip-10-151-22-101.ec2.internal,ingress-controller-598465c54-v7zhx,2097152000,2.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00037916581720343826671093534486089993151836097240447998046875,0.000078165817203438255132523504453700979865971021354198455810546875,0.0003009999999999999980258846843383935265592299401760101318359375
infrastructure,1515974400,1515974460,ip-10-151-22-218.ec2.internal,ingress-default-backend-7df589f6bf-zx5t2,20971520,0.01,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0000022866581720343827108612479170890452451203600503504276275634765625,7.816581720343826148527060886095352287838977645151317119598388671875E-7,0.0000015049999999999999901294234216919676327961497008800506591796875
infrastructure,1515974400,1515974460,ip-10-151-22-218.ec2.internal,kube-lego-64f6d4f695-bbs59,268435456,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00008525522460204010104234395583944206009618937969207763671875,0.00001000522460204009814774099573764232218309189192950725555419921875,0.000075249999999999999506471171084598381639807485044002532958984375
devops,1515974400,1515974460,ip-10-151-22-218.ec2.internal,kube-state-metrics-6d465b4b54-w552f,31457280,0.1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0000162224872580515760999743390957661404172540642321109771728515625,0.000001172487258051573869339499929520531651405690354295074939727783203125,0.000015050000000000001595360128725520354464606498368084430694580078125
gawkbox-demo,1515974400,1515974460,ip-10-151-22-218.ec2.internal,kubernetes-dashboard-7cf4ddccb9-whbdk,52428800,0.1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00001700414543008595797367321633686287896125577390193939208984375,0.00000195414543008595680182956123849269403081052587367594242095947265625,0.000015050000000000001595360128725520354464606498368084430694580078125
gawkbox-dev,1515974400,1515974460,ip-10-151-22-101.ec2.internal,kubernetes-dashboard-7cf4ddccb9-hlk2d,52428800,0.1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00001700414543008595797367321633686287896125577390193939208984375,0.00000195414543008595680182956123849269403081052587367594242095947265625,0.000015050000000000001595360128725520354464606498368084430694580078125
gawkbox-prod,1515974400,1515974460,ip-10-151-22-218.ec2.internal,kubernetes-dashboard-7cf4ddccb9-jdhmp,52428800,0.1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00001700414543008595797367321633686287896125577390193939208984375,0.00000195414543008595680182956123849269403081052587367594242095947265625,0.000015050000000000001595360128725520354464606498368084430694580078125
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,kubernetes-dashboard-7cf4ddccb9-62chm,52428800,0.1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00001700414543008595797367321633686287896125577390193939208984375,0.00000195414543008595680182956123849269403081052587367594242095947265625,0.000015050000000000001595360128725520354464606498368084430694580078125
gawkbox-dev,1515974400,1515974460,ip-10-151-22-101.ec2.internal,pinocchio-v000-5q7wx,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
gawkbox-dev,1515974400,1515974460,ip-10-151-22-218.ec2.internal,pinocchio-v000-rddh2,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
gawkbox-dev,1515974400,1515974460,ip-10-151-22-218.ec2.internal,pluto-v000-flphp,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
devops,1515974400,1515974460,ip-10-151-22-101.ec2.internal,prometheus-54744d9cdb-4zdv6,10485760,0.005,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00000114332908601719135543062395854452262256018002517521381378173828125,3.9082908601719130742635304430476761439194888225756585597991943359375E-7,7.5249999999999999506471171084598381639807485044002532958984375E-7
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-clouddriver-bootstrap-v000-bxtfg,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-clouddriver-v000-kqmtw,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-deck-v000-45m4n,2097152000,4.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.000680165817203438210526711404924071757704950869083404541015625,0.000078165817203438255132523504453700979865971021354198455810546875,0.000601999999999999996051769368676787053118459880352020263671875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-echo-v000-smh8r,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-front50-v000-gh4z9,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-gate-v000-9jsdc,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-igor-v000-k2ljt,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-orca-bootstrap-v000-l6tdz,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-orca-v000-zn7sp,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-redis-bootstrap-v000-v6cx9,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-101.ec2.internal,spin-redis-v000-xj6zv,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-spinnaker,1515974400,1515974460,ip-10-151-22-218.ec2.internal,spin-rosco-v000-9pgd8,-1,-1,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,-0.00015050000003727237603799726795017477343208156526088714599609375,-3.7272366143912442578900589561620064761831953858983723648634622804820537567138671875E-14,-0.00015049999999999999901294234216919676327961497008800506591796875
gawkbox-dev,1515974400,1515974460,ip-10-151-22-218.ec2.internal,temy-v004-bc8hq,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
gawkbox-dev,1515974400,1515974460,ip-10-151-22-101.ec2.internal,tintin-v007-q6f8r,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
gawkbox-dev,1515974400,1515974460,ip-10-151-22-218.ec2.internal,tintin-v007-95wg8,536870912,0.5,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.00009526044920408018902568958452548031345941126346588134765625,0.0000200104492040801962954819914752846443661837838590145111083984375,0.000075249999999999999506471171084598381639807485044002532958984375
garland,1515974400,1515974460,ip-10-151-22-218.ec2.internal,butterfly-1-nvc2t,262144000,1.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0001602707271504297758223100967001073513529263436794281005859375,0.000009770727150429781891565438056712622483246377669274806976318359375,0.00015049999999999999901294234216919676327961497008800506591796875
jason-monroe,1515974400,1515974460,ip-10-151-22-101.ec2.internal,butterfly-2-xcktw,262144000,1.0,spot,m4.large,0.0301,0.5,0.5,0.2,8075688000,2,0.0001602707271504297758223100967001073513529263436794281005859375,0.000009770727150429781891565438056712622483246377669274806976318359375,0.00015049999999999999901294234216919676327961497008800506591796875
